run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260602-010310-89150adf,2026-06-02,Institutional recap over expansion,5,5,Broadly Confirmed,California,refinancing,stable,,4,1,0.4
20260602-021112-26633af2,2026-06-02,Institutional recap over expansion,5,5,Broadly Confirmed,California,refinancing,stable,,4,1,0.4
20260602-040308-43dadaf3,2026-06-02,Institutional recap over expansion,5,5,Broadly Confirmed,California,refinancing,stable,,4,1,0.4
20260602-045446-a07523c4,2026-06-02,Institutional recap over expansion,5,5,Broadly Confirmed,California,refinancing,stable,,4,1,0.4
20260604-000136-6cfa7913,2026-06-04,Institutional recap over expansion,5,5,Broadly Confirmed,Sarasota / Florida,refinancing,stable,,4,3,0.4
20260604-081413-1726a3a1,2026-06-04,Institutional recap over expansion,5,5,Broadly Confirmed,Sarasota / Florida,refinancing,stable,,4,3,0.4
20260604-230201-dcd2cc8d,2026-06-04,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,fading,,3,0,0.333
20260605-114113-2df19a72,2026-06-05,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260605-230148-ea958470,2026-06-05,Institutional recap over expansion,2,2,Early Signal,California,recap,fading,,2,0,0.5
20260606-081908-38f3e371,2026-06-06,Institutional recap over expansion,2,2,Early Signal,California,recap,stable,,2,0,0.5
20260606-230329-da6be778,2026-06-06,Institutional recap over expansion,2,2,Early Signal,California,recap,stable,,2,0,0.5
20260607-101231-ed44acbd,2026-06-07,Institutional recap over expansion,2,2,Early Signal,California,recap,stable,,2,0,0.5
20260607-230152-0a671b17,2026-06-07,Institutional recap over expansion,3,3,Moderate Signal,New York,refinancing,expanding,,3,1,0.333
20260608-143859-a74ae896,2026-06-08,Institutional recap over expansion,3,3,Moderate Signal,New York,refinancing,stable,,3,1,0.333
20260608-230157-81fea293,2026-06-08,Institutional recap over expansion,2,2,Early Signal,California,recap,fading,,2,0,0.5
20260609-105010-d9b80e3f,2026-06-09,Institutional recap over expansion,2,2,Early Signal,California,recap,stable,,2,0,0.5
20260610-115707-124173e2,2026-06-10,Institutional recap over expansion,2,2,Early Signal,California,recap,stable,,2,0,0.5
20260611-001715-f4703e93,2026-06-11,Institutional recap over expansion,8,8,Broadly Confirmed,Sun Belt,refinancing,expanding,,5,2,0.375
20260612-002041-06ed6325,2026-06-12,Institutional recap over expansion,3,3,Moderate Signal,California,recap,fading,,3,0,0.333
20260613-002146-039f5a36,2026-06-13,Institutional recap over expansion,6,6,Broadly Confirmed,Miami / Florida,refinancing,expanding,,5,3,0.333
20260614-000904-0228c830,2026-06-14,Institutional recap over expansion,6,6,Broadly Confirmed,Miami / Florida,refinancing,stable,,5,3,0.333
20260615-001053-87d3b62d,2026-06-15,Institutional recap over expansion,6,6,Broadly Confirmed,Seattle,refinancing,stable,,5,3,0.333
20260616-014320-175168dd,2026-06-16,Institutional recap over expansion,2,2,Early Signal,California,recap,fading,,2,0,0.5
20260617-001813-7e028cca,2026-06-17,Institutional recap over expansion,2,2,Early Signal,Denver / Colorado,refinancing,stable,,2,1,0.5
20260618-001725-265595f4,2026-06-18,Institutional recap over expansion,2,2,Early Signal,California,refinancing,stable,,2,0,0.5
20260619-002803-60bf3723,2026-06-19,Institutional recap over expansion,4,4,Moderate Signal,Georgia,refinancing,expanding,,3,1,0.5
20260620-001047-3a836daf,2026-06-20,Institutional recap over expansion,3,3,Moderate Signal,Atlanta / Georgia,recap,fading,,3,1,0.333
20260621-000747-ec7072ff,2026-06-21,Institutional recap over expansion,3,3,Moderate Signal,Atlanta / Georgia,recap,stable,,3,1,0.333
20260622-001313-0c1b6c9b,2026-06-22,Institutional recap over expansion,3,3,Moderate Signal,Atlanta / Georgia,recap,stable,,3,1,0.333
20260623-000752-0e6f5f71,2026-06-23,Institutional recap over expansion,4,4,Moderate Signal,Dallas / Texas,refinancing,expanding,,4,1,0.25
20260623-235839-1625a2df,2026-06-23,Institutional recap over expansion,2,2,Early Signal,Texas,refinancing,fading,,2,1,0.5
20260625-001447-86f3a02e,2026-06-25,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,fading,,1,0,1.0
20260626-001102-db0c2cd9,2026-06-26,Institutional recap over expansion,8,8,Moderate Signal,San Francisco / California,refinancing,expanding,,4,6,0.625
20260627-000844-ffc034be,2026-06-27,Institutional recap over expansion,4,4,Source-Concentrated,Houston / Texas,refinancing,fading,,2,1,0.75
20260628-000336-0274ba14,2026-06-28,Institutional recap over expansion,4,4,Source-Concentrated,Houston / Texas,refinancing,stable,,2,1,0.75
20260629-001104-974ab7b9,2026-06-29,Institutional recap over expansion,5,5,Moderate Signal,Austin / Texas,refinancing,expanding,,3,2,0.6
20260630-000528-e3d0faf1,2026-06-30,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,fading,,1,0,1.0
20260701-000701-05607635,2026-07-01,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,stable,,1,0,1.0
