run_date,run_id,check_name,component,status,details,recommended_fix
2026-05-20,20260520-230154-ca46e1ee,source_registry_has_entries,Source registry,OK,152 sources configured.,Add source records to RSS_FEEDS or SOURCE_REGISTRY.
2026-05-20,20260520-230154-ca46e1ee,archive_folder_created,Archive,OK,output/runs/2026-05-20,Create the dated archive folder before writing outputs.
2026-05-20,20260520-230154-ca46e1ee,latest_run_timestamp_exists,Run log,OK,2026-05-20 23:01:54,Run the script once successfully to create or update run_log.csv.
2026-05-20,20260520-230154-ca46e1ee,file_exists_articles.csv,articles.csv,OK,articles.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_articles.csv,articles.csv,OK,88 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_articles.csv,articles.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_high_priority_articles.csv,high_priority_articles.csv,OK,high_priority_articles.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_high_priority_articles.csv,high_priority_articles.csv,OK,52 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_high_priority_articles.csv,high_priority_articles.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_market_signals.csv,market_signals.csv,OK,market_signals.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_market_signals.csv,market_signals.csv,OK,38 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_market_signals.csv,market_signals.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_strategy_briefing.csv,strategy_briefing.csv,OK,strategy_briefing.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_strategy_briefing.csv,strategy_briefing.csv,OK,61 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_strategy_briefing.csv,strategy_briefing.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_daily_strategy_briefing.md,daily_strategy_briefing.md,OK,daily_strategy_briefing.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_weekly_strategy_memo.md,weekly_strategy_memo.md,OK,weekly_strategy_memo.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_executive_dashboard_brief.md,executive_dashboard_brief.md,OK,executive_dashboard_brief.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_executive_dashboard_brief_ko.md,executive_dashboard_brief_ko.md,OK,executive_dashboard_brief_ko.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_weekly_strategy_memo_ko.md,weekly_strategy_memo_ko.md,OK,weekly_strategy_memo_ko.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_executive_priority_brief_ko.md,executive_priority_brief_ko.md,OK,executive_priority_brief_ko.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_opportunity_radar_report_ko.md,opportunity_radar_report_ko.md,OK,opportunity_radar_report_ko.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,file_exists_distress_watchlist_report_ko.md,distress_watchlist_report_ko.md,OK,distress_watchlist_report_ko.md exists.,No action needed.
