run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-02,20260602-040308-43dadaf3,delivery,development_pipeline,Atlanta / Georgia,development_pipeline_delivery_atlanta_georgia,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,density_bonus,gp_activity,Southeast,gp_activity_density_bonus_southeast,0,0,2,2,1,1,2026-05-27,2026-05-28,2,2,28,65,30,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,density_bonus,development_pipeline,Santa Monica / California,development_pipeline_density_bonus_santa_monica_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,transaction_market,Los Angeles / California,transaction_market_disposition_los_angeles_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,disposition,development_pipeline,Los Angeles / California,development_pipeline_disposition_los_angeles_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,effective_rent_growth,supply_demand,Phoenix / Arizona,supply_demand_effective_rent_growth_phoenix_arizona,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,entitlement,development_pipeline,Dallas / Texas,development_pipeline_entitlement_dallas_texas,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Santa Monica / California,institutional_capital_joint_venture_santa_monica_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Houston / Texas,institutional_capital_joint_venture_houston_texas,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,joint_venture,institutional_capital,Washington DC,institutional_capital_joint_venture_washington_dc,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,lender_activity,capital_markets,National,capital_markets_lender_activity_national,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
