run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260601-012139-c701e5e3,2026-06-01,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
20260601-020308-c84a5578,2026-06-01,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
20260601-023138-a39ed519,2026-06-01,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
20260601-054634-41ca5227,2026-06-01,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
20260601-064806-993581e0,2026-06-01,Refinancing pressure unresolved,4,4,Moderate Signal,Miami / Florida,refinancing,fading,,4,3,0.25
20260601-072833-c2587107,2026-06-01,Refinancing pressure unresolved,6,6,Broadly Confirmed,Moreno Valley / California,refinancing,expanding,,5,3,0.333
20260519-021700-3e3a74df,2026-05-19,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,newly emerging,,2,0,0.5
20260520-040606-6613d3b9,2026-05-20,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260520-051844-b14f8dba,2026-05-20,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260520-230154-ca46e1ee,2026-05-20,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,expanding,,4,2,0.25
20260521-230148-97d5f8bd,2026-05-21,Sun Belt lease-up pressure watch,3,3,Moderate Signal,National,,fading,,3,1,0.333
20260522-230155-fb3b56b2,2026-05-22,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,fading,,2,0,0.5
20260523-230152-45df883f,2026-05-23,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260524-230204-750df6c3,2026-05-24,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260525-230212-45b2fe12,2026-05-25,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260526-060516-8f6cea4b,2026-05-26,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260526-081038-35a22dfb,2026-05-26,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260526-230211-c37354de,2026-05-26,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260527-013618-38446781,2026-05-27,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260527-230207-4be4208e,2026-05-27,Sun Belt lease-up pressure watch,2,2,Early Signal,National,,stable,,2,0,0.5
20260528-230155-27f9735b,2026-05-28,Sun Belt lease-up pressure watch,3,3,Moderate Signal,National,,expanding,,3,0,0.333
20260529-230138-14a22af3,2026-05-29,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,expanding,,3,1,0.5
20260530-230208-ccf8785d,2026-05-30,Sun Belt lease-up pressure watch,5,5,Broadly Confirmed,National,,expanding,,4,1,0.4
20260531-230156-2ca508a0,2026-05-31,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,fading,,3,0,0.5
20260601-003555-0e25506b,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-012139-c701e5e3,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-020308-c84a5578,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-023138-a39ed519,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-054634-41ca5227,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-064806-993581e0,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
20260601-072833-c2587107,2026-06-01,Sun Belt lease-up pressure watch,4,4,Moderate Signal,National,,stable,,3,0,0.5
